page,row,date,time,title,body
133,1,"2021-12-31","08:59:26","[포토] 2021년 마지막 중대본회의","▶역대급! 1000% 위메이드 뛰어 넘을 ""외국인+기관 순매수 TOP3"" (CLICK)       [이데일리 김태형 기자]김부겸 국무총리가 31일 오전 서울 종로구 정부서울청사에서 열린 코로나19 중앙재난안전대책본부 회의에 참석해 모두발언을 하고 있다.     ▶ 주식투자! 전문가의 조언이 필요하신가요? 주저말고 클릭하세요.성공투자로 안내합니다.!!!  ▶ <세계최초>신약재료+美승인!! 1500%↑터질 역대급 바이오株 (종목확인)  ▶""제2의 쎄미시스코"" 후속 ""NFT+메타버스"" 신흥 강자! 내일 급등종목 3개 ▶바로확인◀  ▶▶[무료 공개]◀◀ 지금 ""1,000만원"" 만 있어도 당장 ""이것""부터 사라!! >>> (무료 체험)  ▶▶주식전문가들의 상승, TOP3 ""테마株"" 종목확인! 선착순 무료! [클릭]         ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞    "
133,2,"2021-12-31","08:59:22","홈플러스, ‘MZ 겨냥’ 합정점에 무직타이거 팝업스토어 오픈","박지연 홈플러스 홈인테리어팀 바이어가 31일 서울 서교동 홈플러스 합정점에 조성된 ‘무직타이거 팝업스토어’에 진열된 상품들을 살펴보고 있다. 홈플러스 제공.  홈플러스가 MZ 세대 고객들의 오프라인 매장 방문을 위한 다양한 노력의 일환으로 인기 캐릭터 ‘무직타이거(MUZIKTIGER)와 컬래버레이션한 상품을 한데 모은 팝업스토어를 개장한다. 홈플러스는 다음달 26일까지 서울 서교동 홈플러스 합정점 지하 2층 매장입구에 ‘무직타이거 팝업스토어’를 열고 무직타이거 침구상품을 비롯한 다양한 컬래버 상품 152종을 선보인다고 31일 밝혔다. 2022년 ‘호랑이의 해' 임인년(壬寅年)을앞두고, MZ세대를 중심으로 큰 인기를 얻고 있는 호랑이 일러스트 브랜드 ‘무직타이거’의 라이센싱 업체인 나라홈데코와 손잡고 무직타이거 컬래버 쿠션, 바디필로우 등 각종 침구 상품과 노트북 파우치, 볼펜, 그립톡 등의 상품을 판매한다. 특히 이번 팝업스토어가 MZ세대를겨냥한 프로모션인 만큼 다음달 2일까지 사흘간 ‘SNS인증샷 이벤트’를 진행, 팝업스토어에 마련된 포토존에서 촬영한 ‘인증샷’ 사진을 SNS에 게재한 고객에게는 무직타이거 쇼퍼백, 탁상달력, 패브릭 포스터 등의 사은품을 매일 50명에게 선착순 제공한다. ‘무직타이거’는'직장을 벗어나 원하는 일을 하는 자유로운 삶을 지향하는 이 시대의 모든 무직(unemployed)을 응원'하는 콘셉트의 브랜드로, 호랑이 ‘뚱랑이’를 비롯해 ‘뚱찌’, ‘뚱고미’, ‘포르미’ 등의 캐릭터 일러스트로 MZ세대를 중심으로 젊은 층에서 각광받고 있는 인기 캐릭터 브랜드다. 이 팝업스토어 개장을 주도한 박지연 홈플러스 홈인테리어팀 바이어도 ‘MZ세대’로 또래에서 큰 인기를 얻고 있는 무직타이거가 ‘호랑이의 해’를 맞아 다양한 브랜드와의 협업을 이어오고 있는 만큼, 젊은 고객들의 오프라인 대형마트 매장 방문을 유도하기 위한 협업 아이디어를 냈다. 홈인테리어팀의 협력사이기도 한 무직타이거 라이센싱 업체 ‘나라홈데코’와 협의해 홈플러스 매장 중 MZ세대 고객의방문 비중이 높은 합정점을 선정해 연말연시에 팝업스토어를 운영하는 방안을 추진했다. 박지연 바이어는 “MZ세대 뿐만 아니라 캐릭터에 관심있는 다양한 연령층의 고객들이 새해를 맞아 무직타이거 팝업스토어를 방문해 호랑이 기운을 듬뿍 받아 희망찬 새해를 맞이하기를 바라는 소망을 담아 마련했다”고 말했다.  ju0@fnnews.com 김주영 기자  ▶ 1500% 솟구치는 아직 5000원대 황금株, 급등 전 마지막기회! [클릭]   ▶“주식카톡방 완전무료 선언” 파격결정   [파이낸셜뉴스 주요뉴스]  → ""김건희, 윤석열과 결혼 전에 이미.."" 놀라운 반전 → '56세' 女배우 목욕신, 영하 13도인데 물속에서 2시간 동안.. → ""성인용품은 카드 안되는 나라"" 사장의 울분...왜? → 샤부샤부 먹다가 씹힌 '콘돔', 조사해보니 놀라운 결과 → ""유부남이었어?"" 상사 무릎 위에서 춤춘 신입 여경, 옷차림이.. → 주식으로 속이 답답할 때 [파인애플]  하루만에 高수익 챙길 ‘초대형’ 바이오 대장株! 비밀리에 입수! ▶확인◀   ▶▶[무료공개]◀◀ 지금 ""1,000만원""만 있어도 당장 ""이것""부터 사라!! >>> (무료 체험)    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지 "
133,3,"2021-12-31","08:59:05","[공시] 대웅제약, 나보타 100 중국 품목허가 신청","대웅제약은 나보타(Clostridium Botulinum Toxin Type A) 100 unit에 대한 중국 품목허가를 신청했다고 31일 밝혔다. 품목허가기관은 중국 국가약품감독관리국(NMPA)이다. 회사 측은 ""품목허가 승인 후 중국 내 제품 출시 예정""이라고 설명했다.   안경무 기자(noglasses@etoday.co.kr)    [종목기사] ● 대웅제약 '펙수클루정' 국산 34호 신약 허가 ● [BioS]대웅제약, ‘펙수클루정’ 위식도역류질환 ""식약처 허가"" ● 11곳 임상 승인…내년에 국산 '먹는코로나치료제' 나올까 ● 올해 K바이오 기술수출 13조돌파…역대 최대치 ● 대웅제약, 바이오벤처 넥스아이와 면역항암제 공동개발 MOU  [오늘의 핫클릭] ●['더K'의 한 해]코로나 위기를 기회로 바꾼 K바이오 ●[1보] 뉴욕증시, 하락...다우 0.25%↓   ●백만원 주식해 3년만에 ""40억"" 번 男 알고보니… ●통장에 50만원 있다면 ""이종목"" 꼭 매수해라!! [클릭] ●당정 “연매출 3억 이하, 0.8→0.5%… 4700억 감면 효과” ●오미크론의 두 얼굴... ●칼바람 부는 성탄절...영동은 '화이트 크리스마스'        이투데이(www.etoday.co.kr), 무단전재 및 수집, 재배포금지   프리미엄 경제신문 이투데이    "
133,4,"2021-12-31","08:59:03","현대제철, LNG저장탱크용 ‘극저온 철강재’ 품질인증","세계 최대폭 4.5m 9%니켈강…LNG생산기지 공급사로  LNG추진선 강재 이어 육상용 LNG플랜트 진출 ‘신호탄’   한국가스공사가 추진 중인 당진 LNG 제5기지 조감도. [현대제철 제공]  [헤럴드경제=정찬수 기자] 현대제철이 생산하는 액화천연가스(LNG) 저장탱크용 극저온 철강재 9%니켈강이 한국가스공사의 품질 인증시험을 통과했다.  이로써 현대제철은 두께 6~45㎜, 최대폭 4.5m 9%니켈강 제품의 품질인증을 획득해 국내외 육상용 LNG플랜트 시장에서 경쟁력을 확보하게 됐다고 밝혔다. 이번에 인증을 받은 제품의 너비(4.5m)는 세계 최대 수준의 광폭이다.  9%니켈강은 조선용·육상 플랜트용 저장탱크 등 LNG연료 저장시설에 사용되는 초고성능 후판제품이다. 극저온 환경(영하 196도)에서 충격에 대한 내성이 뛰어나며 용접 성능이 우수하다.  현대제철은 이번 9%니켈강 품질인증을 통해 한국가스공사가 당진에 건설하는 LNG생산기지 자재공급사 자격을 획득했다. 향후 한국가스공사 설계로 진행되는 국내외 다양한 프로젝트들에 강재를 공급할 자격도 확보했다.  앞서 지난9월에는 현대중공업이 건조 중인 LNG추진 초대형 컨테이너선의 대형 연료탱크용 9%니켈강을 공급하며 품질을 인정받았다. LNG벙커링선 저장탱크와 소형 연료탱크용 소재도 공급하고 있다.  이번 인증은 국내 용접재료 제조사 현대종합금속과 협력해 용접재료의 전량 국산화에 성공했다는 점에서 의미가 크다. 용접재료는 높은 인성과 효율성 문제로 그간 수입에 의존했다.  특히 현대제철은 이번 한국가스공사 품질인증시험에서 전량 국산 용접재료를 적용해 인증에 통과했다. 용접재료 국산화로 인한 비용 절감효과는 수입재 대비 약 30% 이상이다.  현대제철 관계자는 “한국가스공사 품질인증 획득은 현대제철이 LNG저장탱크를 포함한 극저온용 소재 시장에 본격적으로 진입했다는 의미”라며 “9%니켈강 소재 수급에 어려움을 겪고 있는 국내외 건설사에도 큰 도움이 될 것”이라고 말했다.  한편 현대제철은 2020년 3월 9%니켈강 개발을 완료하고 같은 해 12월 KR(한국), ABS(미국), DNV(노르웨이·독일) 등 국내외 주요 9대 선급 인증을 모두 획득했다."
133,5,"2021-12-31","08:58:59","먼키, 연말연시 결식아동 위한 도시락 기부","디지털 맛집편집샵 먼키(MONKi)가 '훈훈도시락 밥정기부 캠페인'을 통해 마련한 도시락 166인분을 결식아동에게 기부했다.   지난 12월 1일부터14일까지 먼키 전 지점에서 진행된 이번 캠페인은 2주간 고객 주문 건마다 먼키 수익금에서 100원이 적립돼, 모여진 수익금으로 도시락을 마련했다. 여기에 사회공헌활동에 동참을 희망한 먼키 입점 외식브랜드들이 자발적으로 도시락을 추가 기부했다.   도시락 기부에 참여한 외식브랜드는 믿음직화, 샌드위밋, 팟스테이크, 킹스꼬마김밥, 싸움의고수, 포만, 알로이팟타이, 타코무쵸, 양파식당, 김치더맥스, 킹케밥, 커리146 등 이다.   이렇게 마련된 166인분의 도시락은 NGO단체 희망조약돌을 통해 서초지역아동센터, 보라매지역아동센터, 하늘지역아동센터, 야긴과보아즈아동센터로 나눠 전달됐다.   먼키 관계자는 “코로나로 어려운 상황에서도 입점 외식브랜드 사장님들의 적극적인 많은 참여가 있었다”라며 “먼키을 찾아주시는 고객님들과 입점 사장님들, 그리고 먼키 본사의 마음이 담긴 훈훈도시락을 통해 결식아동에게 따뜻한 정이 전해졌으면 좋겠다”고 말했다.   먼키는 2021년 한해 동안 '훈훈한 밥정을 나누는 같이가치 먼키'등 사회공헌 캠페인을 꾸준히 펼쳐왔다. 배달라이더를 위해 무료로 생수를 증정하는 '라이더님 오늘도 응원해요', 코로나로 힘들어하는 소상공인 자영업자를 위한 '밥심얻고 밥정리뷰, 소상공인 응원 캠페인'도 많은 고객의 참여 속에 성황리에 종료됐다.   한편, 디지털외식 플랫폼 스타트업 먼슬리키친이 운영하는 O2O 맛집편집플랫폼 먼키는 전국의 지역 맛집과 유명 외식브랜드로 구성된 맛집편집샵에 IT 공유주방 시스템을 접목한 신개념 외식공간이다.   현재 먼키는 강남점, 영등포빅마켓점, 분당휴맥스점, 판교아브뉴프랑점, 구로디지털단지점, 문정법조타운점, 시청역점 등 7개 지점 130여개 외식브랜드를 운영 중이다.   ▶ 1500% 솟구치는 아직 5000원대 황금株, 급등 전 마지막 기회! [클릭]   ▶“주식카톡방 완전무료 선언” 파격결정   [파이낸셜뉴스 주요뉴스]  → ""김건희, 윤석열과 결혼 전에 이미.."" 놀라운 반전 → '56세' 女배우 목욕신, 영하 13도인데 물속에서 2시간 동안.. → ""성인용품은 카드 안되는 나라"" 사장의 울분...왜? → 샤부샤부 먹다가 씹힌 '콘돔', 조사해보니 놀라운결과 → ""유부남이었어?"" 상사 무릎위에서 춤춘 신입 여경, 옷차림이.. → '주린이'가 먹어야 할 과일은? [파인애플]  하루만에 高수익 챙길 ‘초대형’ 바이오 대장株! 비밀리에 입수! ▶확인◀   ▶▶[무료공개]◀◀ 지금 ""1,000만원""만 있어도당장 ""이것""부터 사라!! >>> (무료 체험)    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지 "
133,6,"2021-12-31","08:58:44","[포토] 중대본 참석하는 김부겸 총리","▶역대급! 1000% 위메이드 뛰어 넘을 ""외국인+기관 순매수 TOP3"" (CLICK)       [이데일리 김태형 기자]김부겸 국무총리가 31일 오전 서울 종로구 정부서울청사에서 열린 코로나19 중앙재난안전대책본부 회의에 참석하고 있다.     ▶ 주식투자! 전문가의 조언이 필요하신가요? 주저말고 클릭하세요.성공투자로 안내합니다.!!!  ▶ <세계최초>신약재료+美승인!! 1500%↑터질 역대급 바이오株 (종목확인)  ▶""제2의 쎄미시스코"" 후속 ""NFT+메타버스"" 신흥 강자! 내일 급등종목 3개 ▶바로확인◀  ▶▶[무료 공개]◀◀ 지금 ""1,000만원""만 있어도 당장""이것""부터 사라!! >>> (무료 체험)  ▶▶주식전문가들의 상승, TOP3 ""테마株"" 종목확인! 선착순 무료! [클릭]         ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포금지＞    "
133,7,"2021-12-31","08:58:37","새 DSR 규제 피한 막바지 주거형 오피스텔 분양 눈길","내년 1월 차주단위 DSR 2단계의 조기 시행으로 주택 구입 시 자기자금 부담이 늘어날 것으로 예상되면서 규제 적용 전 마지막 분양 단지에 대한 관심이 증가하고 있다.  DSR은 대출 수요자의 소득 대비 전체 부채의 원리금 상환액 비율을 의미하는 것으로 내년 1월부터 주택담보대출 및 신용대출 등총 대출금액이 2억원을 초과하는 경우 DSR 40%가 적용된다. 또 7월부터는 총 대출금이 1억원만 넘어도 적용해 올해까지 입주자모집공고를 내지 못한 단지는 중도금 대출과 잔금 대출에도 DSR 규제가 적용되면서 내 집 마련을 앞둔 수요자들의 진입 장벽이 더욱 높아질 예정이다.  다만 규제 전인 올해 말까지 입주자모집공고를 한 단지의 경우 실수요자 보호를 위한 예외사항으로 DSR 규제에서 제외된다. 이런 탓에 자금 여력이 충분하지 않은 수요층은 대출을 통해 집을 마련할 수 있는 마지막 기회인 셈이다.  이러한 가운데 고양시 화정동 일원에 위치한 주거형 오피스텔 ‘고양 화정역 동문 디 이스트’가 오늘 12월 31일 그랜드 오픈을 진행하면서 본격적인 분양에 돌입한다고 밝혔다.  ‘고양 화정역 동문 디 이스트’는 연면적 20,738.10㎡, 지하 7층에서 지상 19층 규모로 조성되며 총 119실을 분양한다. 세대는 주거 수요층의 선호도가 높은 3Bay, 4Bay 판상형 구조 설계와 전용면적 61.53㎡~84.52㎡ 타입으로 조성되며 전세대 다락포함 거실기준 층고 3.5m로 구성해 공급된다.  단지는 입주민 편의를 위한 루프탑, 지하창고, 피트니스 센터 등 커뮤니티 시설도 조성하며, 내부에는 삼성비스포크 키친핏 냉장고, 김치냉장고와 세탁기, 건조기, 시스템 에어컨, 오븐, 인덕션 등 풀퍼니시드 시스템(타입별 상이)을 갖춰 제공한다.   특히 단지 인근에 화정역과 GTX-A노선(2024년 예정) 대곡환승역, 고양선(예정)등 역세권이 형성되어 있으며 외곽순환도로, 강변북로, 자유로에도 빠르게 접근이 가능하다. 이 밖에도 롯데마트, 이마트, 이케아, 스타필드 등 쇼핑 시설과 관공서, 병원 등 편의 인프라도 인접한 위치에 형성되어 있다.  분양 관계자는 “만19세 이상이면 누구나 청약이 가능하며 DSR 규제 적용 전 마지막 분양의 기회로 홍보관을 찾는 이들이 증가하고 있다”면서 “GTX-A, 대곡역세권 등 교통 개발과 창릉신도시 개발 수혜를 누릴 수 있는 입지와 3, 4Bay 특화 설계로 상품성도 우수해 계약에서 좋은 결과를 기대하고 있다.”고 전했다.  한편, ‘고양 화정역 동문 디 이스트’ 오피스텔 분양에 대한 사항은 대표 홈페이지 및 홍보관을 통해 확인이 가능하다.       ▶ 1500% 솟구치는 아직 5000원대 황금株, 급등 전 마지막 기회! [클릭]   ▶“주식카톡방 완전무료 선언” 파격결정   [파이낸셜뉴스 주요뉴스]  → ""김건희, 윤석열과 결혼 전에 이미.."" 놀라운 반전 → '56세' 女배우 목욕신, 영하 13도인데 물속에서 2시간 동안.. → ""성인용품은 카드 안되는 나라"" 사장의 울분...왜? → 샤부샤부 먹다가 씹힌 '콘돔', 조사해보니 놀라운 결과 → ""유부남이었어?"" 상사 무릎 위에서 춤춘 신입 여경, 옷차림이.. →'주린이'가 먹어야 할 과일은? [파인애플]  하루만에 高수익 챙길 ‘초대형’ 바이오 대장株! 비밀리에 입수! ▶확인◀   ▶▶[무료공개]◀◀ 지금 ""1,000만원""만 있어도 당장 ""이것""부터 사라!! >>> (무료 체험)    ※ 저작권자 ⓒ 파이낸셜뉴스.무단 전재-재배포 금지 "
134,1,"2021-12-31","08:54:09","롯데홈쇼핑, 유튜브 송년회로 2021 마무리","[머니투데이 임찬영 기자] 롯데홈쇼핑이 코로나19(COVID-19) 여파로 대면 접촉을 최소화하는 근무 환경과 MZ세대 직원들을 겨냥해 유튜브를 통한 비대면 송년회를 진행했다고 31일 밝혔다.   롯데홈쇼핑은 지난해부터 임직원 간 유대감을 강화하고 함께 즐길 수 있는 언택트 조직문화 프로그램의 일환으로 유튜브 채널 '완신 라이브(완전 신박한 라이브)'를 운영 중이다. 이번이 네 번째 행사로 올 한 해 수고한 임직원들을 격려하고 새로운 도약을 다짐하는 다양한 코너들이 마련됐다.   행사는 총 1시간 동안 롯데홈쇼핑 쇼호스트가 시사 코미디쇼를 진행하는 콘셉트로 진행됐다. '2021년 롯데홈쇼핑 주요 10대 뉴스', 임직원 대상으로 진행하고 있는 '칭찬 릴레이 결산 어워즈' 등이 발표됐다. 이완신 대표는 송년 메시지와 새해 인사도 전했다. 이 외에도 추첨을 통해 'LG스탠바이미', '아이패드', '애플워치', '호텔 숙박권', '명품 잡화' 등 선물을 증정하는 경품 추첨 이벤트도 진행했다.   박재홍 롯데홈쇼핑 경영지원부문장은 ""코로나19 장기화로 지난해부터 사내 행사를 비대면 방식으로 전환해 진행하고 있다""며 ""특히 '온택트 송년회'는 20~30대 젊은 직원 비중이 높은 홈쇼핑 문화에 맞춘 차별화된 프로그램 구성으로 직원들에게 높은 호응을 얻고 있으며 향후에도 다양한 언택트 조직문화 프로그램을 선보여 직원 간 소통을 이어나갈 예정""이라고 밝혔다.     [관련기사] ☞ 대낮에 브라질 공원 벤치서 성관계…구경하는데도 스킨십 열중 ☞ ""욕 많이 먹었다"" 기안84 수상소감 중에…객석서 눈물 흘린 여자 ☞ '이혼 중' 최정윤, 결혼식 언급…""일생에 다시없을 아름다운 날"" ☞ 귀걸이만 '4970만원'…김세정, 감탄 부른 블랙 드레스 ""어디 거?"" ☞ '슈가맨' 양준일이 어쩌다…기획사 불법 운영에 저작권 논란까지   임찬영 기자 chan02@mt.co.kr     ▶월 0.3%대 최저금리 적용, 키워드림론 간편 신청으로 수익 극대화하자 (신청하기)   빅 사이클 도래! 실적 발표 기대감! 단타, 중,장기를 모두 잡는 엄청난 종목의 등장! [클릭]   ▶▶역대급 곧 1000% 터진다! 큰손 외인+기관 연일 매집! 급등 종목 3개 ▶바로확인◀     [파워 인터뷰]       놓치면 후회할 저평가 우량주 딱 다섯 종목  ▶시세 분출 직전 ! 실적 상승 + 재료임박 + 외인대량매집중인 '이 종목' 긴급공개 ◀   기관 외인 바닥권 대량 매집흔적 발견! 급등 임박 大시세 종목 공개!!       <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
134,2,"2021-12-31","08:54:09","김종인·이준석 오늘 오찬 회동… '선대위 내홍' 끝낼까","[머니투데이 서진욱 기자] [[the300]]     김종인 국민의힘 중앙선거대책위원회 총괄선거대책위원장과 이준석 국민의힘 대표가 31일 오찬 회동을 한다. 이 대표의 선대위 직책 사퇴로표출된 내홍을 봉합할 수 있을지에 이목이 쏠린다.   김 위원장과 이 대표는 이날 서울 여의도의 한 식당에서 오찬 회동을 갖는다. 두 사람은 지난 22일에도 오찬을 가진 바 있다. 당시 회동에서는 이 대표의 거취에 대해 논의하지 못했고 내홍 수습도 이뤄지지 않았다.   김 위원장은 이날 회동에서 선대위 개편과 관련한 이 대표의 의견을 청취할 예정이다. 김 위원장은 전날 기자들과 만나 ""이 대표에게 선대위에 대해 뭘 어떻게 할 거냐에 대해 얘기해보라고 할 것""이라며 ""지금 선대위 초창기에 구성 과정 속에서 이 대표가 소위 어떤역할을 했느냐는 것""이라고 말했다. 이어 ""내일 만나 구체적으로 얘기하면 여러 가지 현재 사람들이 생각하는 문제가 해소될 것이라고 본다""고 말했다.   이 대표는 선대위 직책에서 물러난 이후 지속적으로 선대위 개편 주장을 펼치고 있다. 그는 전날 TBS 라디오 '신장식의 신장개업' 에 출연해 ""대선에서는 골을 넣고 덜 먹는 게 작전인데, 우리 당의 득표전략을 누가 담당하는지가 모호하다""며 ""우선 매머드가 문제다. 잡아야 한다. 먹기만 많이 먹고 제대로 하는 게 없다""고 주장했다. 현재 선대위 조직을 매머드에 비유하며 비효율적으로 운영된다고 지적한 것이다.   반면 윤석열 대선후보는 선대위를 개편할 의사가 없다고 공개적으로 밝힌 바 있다. 윤 후보는 전날 대구를 방문해 ""개편 이런 건 없고, 그건 총괄선대위원장도 같은 생각""이라며 ""다만 선대위라는 것은 선거가 끝나는 날까지 지속적으로 더 효율적으로 운영하기 위해계속 변화와 보완이 필요한 것""이라고 말했다.     [관련기사] ☞ 대낮에 브라질 공원 벤치서 성관계…구경하는데도 스킨십 열중 ☞ ""욕 많이 먹었다"" 기안84 수상소감 중에…객석서 눈물 흘린 여자 ☞ '이혼 중' 최정윤, 결혼식 언급…""일생에 다시없을 아름다운 날"" ☞ 귀걸이만 '4970만원'…김세정, 감탄 부른 블랙 드레스 ""어디 거?"" ☞ '슈가맨' 양준일이 어쩌다…기획사 불법 운영에 저작권 논란까지   서진욱 기자 sjw@mt.co.kr     ▶월 0.3%대 최저금리 적용, 키워드림론 간편 신청으로 수익 극대화하자 (신청하기)   빅 사이클 도래! 실적 발표 기대감! 단타, 중,장기를 모두 잡는 엄청난 종목의 등장! [클릭]   ▶▶역대급 곧 1000% 터진다! 큰손 외인+기관 연일 매집! 급등 종목 3개 ▶바로확인◀     [파워 인터뷰]       놓치면 후회할 저평가 우량주 딱 다섯 종목  ▶시세 분출 직전 ! 실적 상승 + 재료임박 + 외인대량매집중인 '이 종목' 긴급공개 ◀   기관 외인 바닥권 대량 매집흔적 발견! 급등 임박 大시세 종목 공개!!       <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
134,3,"2021-12-31","08:54:07","부산시, 빅데이터 활용해 시민의 삶의 질 높인다","부산시가 경제, 도서, 생활, 문화, 관광 등 분야별 분석을 추진하는 ‘빅데이터 분석사업’을 완료하고 내년부터는 데이터에 기반한 스마트 시정을 펼친다.   31일 부산시에 따르면 시는 지난 6월 착수한 빅데이터 분석사업 완료보고회를 30일 열었다. 그동안 이 사업은 지역 경제 활성화 및 청년고용을 위한 분석, 도서관 이용현황 분석, 코로나19로 인한 시민생활 변화 분석, 청년문화 소비 내역 분석, 동구 이바구길 관광 빅데이터 분석 등 분야별로 추진됐다.   보고회에서 분석 결과를 기반으로 제시된 정책제언을 살펴보면 ‘지역 경제 활성화 및 청년 고용을 위한 분석’은 경제 현황, 잠재 성장기업 발굴 및 개방형 공유서비스 시뮬레이션, 청년 유출 원인 등을 분석해 고성장기업 생태계 연구소 설립, 청년 창업·주거 등 열린서비스 개발 등 경제와 청년 문제를 해결할 수 있는 전략이 제시됐다.   ‘도서관 이용현황 분석’은 개인 도서 추천, 도서관 수서 추천, 대출 급상승 도서를 분석한 결과 시민과 현업 담당자들이 쉽게 활용할 수 있도록 시각화 화면을 개발해 빅데이터 포털에 서비스될 예정이다.       ‘코로나19로 인한 시민생활 변화 분석’은 통신사 모바일 데이터, 카드 소비 데이터, 자체 설문조사 등을 융복합 분석해 비대면 민원 업무 확대, 노인 비대면 거래 교육 추진 등 생활 변화를 예측하고 이에 부합하는 정책이 제시됐다.   청년의 문화 활동 지역과 소비 특성을 분석한 ‘청년문화 소비 내역 분석’에선 청년문화 역세권을 도출하고 청년 예술가 창작 활동 지원, 대안예술공간(모빌리티 플랫폼) 운영 등 관련 지원 정책이 제시됐다.   ‘동구 이바구길 관광 빅데이터 분석’은 동구의 이바구길 6곳의 상권 매출, 유동인구 변화 및 밀집 현황, 방문인구 소비 특성 등을 종합적으로 분석해 쉼터 조성, 테마거리 조성, 접근성 확대 전략 수립 등의 정책이 제시됐다.   시는 이번에 제시된 정책제언을 반영해 내년도 관련 분야 시책을 추진할 계획이며 내년에는 복지, 안전, 축제 등에 대한 분석을 통해 빅데이터 활용 범위를 넓혀나갈 예정이다.   이준승 부산시 디지털경제혁신실장은 “데이터 분석을 통해 과학적이고 합리적인 시민 맞춤형 행정서비스를 발굴하고 이를 통해 부산 시민의 삶의 질을 높일 수 있도록 스마트 시정을 펼쳐 나가겠다”고 말했다. /부산=조원진 기자 bscity@sedaily.com  ▶▶ 메타버스+NFT+게임 모두 해당되는 역대급 종목! 1500% 잡을 수 있는 마지막 기회! [확인]  ▶▶ [ 무료공개] ◀◀ 지금 ""1,000만원""만 있어도 당장 ""이것"" 부터 사라!!>>> (무료체험)   ▶▶ [급등임박 공개] ◀◀ 2021년 상반기 ""정부정책 수해주"" TOP 10 긴급공개 >>> (바로확인)     [ⓒ 서울경제, 무단 전재 및 재배포 금지]"
